,name,2-7 keV Chandra,0.5-7 keV Chandra,1.2-2 keV Chandra,0.5-1.2 keV Chandra,0.2-0.5 keV Chandra,0.3-8 keV (Chandra),0.5-2 keV (Chandra),FUV (GALEX) AB,NUV (GALEX) AB,u (SDSS PSF) AB,g (SDSS PSF) AB,r (SDSS PSF) AB,i (SDSS PSF) AB,z (SDSS PSF) AB,W1 (WISE),W2 (WISE),W3 (WISE),W4 (WISE),2-10 keV (XMM),4.5 microns (IRAC),8.0 microns (IRAC),24 microns (MIPS),J (2MASS/CTIO),H (2MASS/CTIO),K_s (2MASS/CTIO),0.5-8 keV (Chandra),3.6 microns (IRAC),5.8 microns (IRAC),1-2 keV (Chandra)
8018,2CXO J142754.9+330009,9.575449999999999e-15,1.2158800000000002e-13,2.70895e-14,1.9813e-14,9.321425e-14,1.77e-13,4.75e-14,,,19.97533333333333,19.834666666666667,19.211666666666673,19.152666666666665,18.476666666666667,,,,,,535.4549999999998,,,16.572000000000006,15.860499999999998,15.228,,513.9000000000002,537.155,
8019,2CXO J142756.3-420619,1.0289849999999999e-13,1.6795e-12,2.5910000000000003e-13,2.9615999999999997e-13,1.1485e-12,2.94e-12,6.566666666666668e-13,,,,,,,,11.347666666666667,10.244333333333334,7.317,5.0,1.75e-12,,,,16.3325,15.3465,14.3525,,,,
8020,2CXO J142758.6+324741,1.69725e-13,6.699400000000002e-13,2.4051999999999997e-13,1.40915e-13,2.96275e-13,2.8700000000000005e-12,2.579e-13,,,18.7452,8.914714285714286,18.4854,18.308200000000006,18.2602,13.884,12.929666666666668,10.450999999999999,7.850666666666666,,1123.15,1749.7,5269.05,17.1255,16.1545,15.8105,,828.7950000000002,1393.6,
8021,2CXO J142800.6+350454,1.67165e-14,1.767275e-14,2.93795e-15,3.2279000000000002e-15,1.247775e-14,3.25e-14,8.4e-15,,,,5.979999999999999e-17,,,,16.799333333333333,15.569666666666668,11.935,8.860000000000003,,86.10033333333334,297.7,944.8733333333333,,,,,55.42966666666666,166.95,
8022,2CXO J142808.8-023124,,1.332375e-13,2.831475e-15,8.565500000000001e-15,1.281425e-13,1.4e-13,,,,20.346857142857143,18.815,18.06928571428572,17.60171428571429,17.344142857142856,13.741666666666667,13.293333333333335,11.136666666666665,8.462666666666665,,,,,15.9935,15.441,14.979000000000001,-13.0,,,
8023,2CXO J142810.3+353846,4.60399e-13,2.602075000000001e-13,7.885199999999999e-14,4.33305e-14,1.420375e-13,3.5700000000000014e-13,4.672e-14,,,19.0952,18.783,18.734,18.8756,18.7036,14.831,13.882333333333333,11.469333333333333,8.554666666666666,,577.62,882.34,1083.1333333333334,,,,,466.58,757.61,
8024,2CXO J142811.7+332008,1.416125e-13,9.882575e-14,3.7867000000000004e-14,1.4419749999999998e-14,4.20185e-14,1.7800000000000002e-13,6.12e-14,20.506375,20.416925,19.738,19.593,19.344,19.291,18.889,14.964666666666668,14.123,11.080333333333336,8.658999999999999,,462.655,747.63,2475.15,,,,,376.41,558.06,
8025,2CXO J142813.9+334759,3.441774999999999e-14,3.591875000000001e-15,1.6028e-15,1.4065250000000001e-15,3.787525e-15,3.62e-14,1.04e-14,22.59505,21.8713,19.576600000000006,19.1276,19.0784,19.0428,18.8474,16.448,15.449333333333335,11.675333333333333,8.773,,159.73,467.34,1061.85,,,,,119.075,272.875,
8026,2CXO J142817.7+354021,1.2474125000000002e-14,1.46665e-13,3.544475e-14,2.8986e-14,8.52095e-14,2.19e-13,5.45e-14,20.55045,20.09815,19.050714285714285,19.00871428571429,18.725428571428573,18.558285714285713,18.09742857142857,14.323666666666664,13.487333333333336,10.839666666666664,8.779666666666666,,794.0,1061.4,2191.2,16.944499999999998,15.519,15.2925,,675.85,884.27,
8027,2CXO J142826.3+324809,,1.25345e-14,1.82935e-15,,1.2062e-14,,5.2e-15,21.9048,19.5334,18.9158,18.6914,18.3286,18.514,18.5962,14.594000000000001,13.278666666666664,10.484000000000002,8.138333333333334,,850.45,1979.1,3347.7666666666664,,,,,551.7049999999998,1330.7,
8028,2CXO J142838.2+322816,5.5919000000000006e-14,3.5385e-13,1.15645e-13,7.533749999999999e-14,1.7481250000000002e-13,4.6e-13,1.1400000000000002e-13,22.0396,19.38045,18.6484,18.4994,18.4592,18.6246,18.638800000000003,14.623,13.480666666666664,10.987333333333336,9.021666666666668,,666.2249999999998,1351.4499999999996,1303.4333333333334,,,,,482.21,959.34,
8029,2CXO J142842.9+342409,7.9471e-14,1.3253749999999999e-14,8.11215e-16,1.9305250000000003e-15,1.1634250000000002e-14,2.72e-14,,,,,,,,,,,,,,134.155,599.495,3192.0,,,,,65.2645,276.76,
8030,2CXO J142844.4+004454,1.4198000000000001e-15,4.0891500000000004e-14,9.1475e-15,9.19955e-15,2.2697999999999998e-14,1.18e-13,,21.70545,20.735325000000003,19.725,19.597,19.404,19.358,19.432,16.061666666666667,15.073333333333332,11.962666666666665,8.773000000000001,,,,,,,,,,,
8031,2CXO J142844.5+154306,,3.550549999999999e-15,4.0198000000000003e-16,2.7739e-15,2.23595e-15,,,20.8095,20.28915,18.424,17.844,17.669,17.468,17.448,14.400333333333334,13.226333333333335,10.152999999999999,8.01025,,,,,16.4485,16.113,15.633,,,,
8032,2CXO J142845.4+003915,1.034435e-14,7.98415e-14,1.79875e-14,1.34825e-14,4.9208999999999996e-14,1.05e-13,,21.337475,20.663075,20.666,20.458,20.246,20.25,20.131,15.76,15.117666666666667,11.942,8.471666666666666,,,,,,,,,,,
8033,2CXO J142848.3+350315,2.5335000000000002e-15,1.4277500000000002e-14,4.653550000000001e-15,3.2535499999999998e-15,7.270125e-15,2.88e-14,1.17e-14,21.291925,20.589025,19.0694,18.945,18.8712,18.87,18.6718,14.911333333333333,14.145333333333333,11.112,8.723333333333334,,249.465,777.0350000000002,2513.45,,,,,157.45,436.025,
8034,2CXO J142849.1+004940,5.966703299999999e-12,3.35635e-14,1.2988499999999999e-14,5.132100000000001e-15,1.5638500000000005e-14,6.62e-14,,24.09,22.122100000000003,20.461,20.28,20.039,19.814,19.851,15.494000000000002,14.499,12.122,8.869666666666667,,,,,,,,,,,
8035,2CXO J142857.9+344149,7.624900000000003e-15,1.258575e-14,3.586725e-15,2.111225e-15,8.670125e-15,1.88e-14,,,,22.455,20.3644,20.007800000000003,19.9028,19.7848,,,,,,70.23100000000001,148.43,459.93,,,,,74.08250000000002,98.3375,
8036,2CXO J142858.1+322850,6.57255e-15,2.126e-14,1.0935500000000001e-14,2.06915e-15,1.019935e-14,3.52e-14,6.5e-15,21.84765,21.2524,19.5268,19.1428,19.0456,19.0814,18.9248,15.766333333333336,14.731666666666667,11.467999999999998,8.658999999999999,,145.98000000000005,425.4,,,,,,105.465,248.51,
8037,2CXO J142859.0+322506,7.9094e-14,1.1596e-13,2.6625e-14,1.5275e-14,7.4458e-14,1.4400000000000002e-13,3.7000000000000006e-14,18.6016,17.98825,18.0006,8.423142857142855,17.6756,17.5226,17.645599999999995,13.388,12.326333333333332,9.979333333333336,7.854,,1673.0500000000004,2920.65,5640.55,16.933999999999994,16.264499999999998,15.932,,1207.5,2250.65,
8038,2CXO J142903.8+155713,6.499899999999999e-14,1.6839e-13,4.6887e-14,2.40945e-14,9.90215e-14,,,23.430300000000006,20.38405,19.63,19.592,19.223,19.324,19.349,14.904000000000002,14.061666666666667,11.675666666666665,8.5455,,,,,,,,,,,
8039,2CXO J142904.6+294342,,3.8971e-14,3.6258499999999995e-15,4.3466e-15,3.3144999999999994e-14,2.16e-14,,20.4952,19.982775,18.74833333333333,17.151,16.49,16.031000000000002,15.736666666666665,12.289666666666667,11.357000000000001,7.408666666666666,4.768666666666666,,,,,14.696000000000002,13.927499999999998,13.393,,,,
8040,2CXO J142910.2+352946,1.2671150000000001e-14,2.91905e-14,4.474799999999999e-15,5.0703e-15,1.88755e-14,3.96e-14,4.095000000000001e-15,,,19.8242,19.2098,18.937,18.782,18.668,15.467666666666664,14.746333333333334,11.913666666666666,8.671333333333333,,206.375,470.13,932.49,,,,,167.635,304.225,
8041,2CXO J142911.1+330942,2.538225e-14,6.572400000000001e-14,8.577525e-15,8.38995e-15,5.0476499999999996e-14,1.16e-13,9.6e-15,22.2929,20.08265,19.4022,19.3084,19.054,19.0828,19.2262,15.635333333333335,14.409999999999998,11.614,8.986000000000002,,328.12,591.245,719.3000000000002,,,,,247.925,442.84,
8042,2CXO J142911.2+324823,6.534600000000002e-14,9.962949999999999e-14,4.6721e-14,1.6660999999999995e-14,4.4185e-14,1.7100000000000008e-13,5.72e-14,20.09635,19.2656,18.102999999999998,18.1652,18.006399999999996,17.9974,18.0938,14.662999999999998,13.495,10.492333333333336,8.233333333333333,,620.38,1368.2,3416.0,,,,,377.73,918.67,
8043,2CXO J142912.9+340959,1.7338199999999994e-14,1.6987099999999997e-14,1.2424675e-14,6.45365e-15,1.4174500000000003e-14,6e-14,1.13e-14,22.291675,20.292725,18.5592,18.1688,18.1532,18.0974,17.9436,15.151666666666666,14.209333333333333,10.821,7.934333333333334,,355.005,1101.5,3350.8,,,,,249.97,624.635,
8044,2CXO J142914.4+354125,9.31465e-14,4.7006e-14,1.4890500000000002e-14,4.1958500000000005e-15,2.8705e-14,6.65e-14,1.38e-14,21.973525,20.487275,19.283400000000004,19.1628,19.1446,18.9214,18.9634,16.17866666666667,14.626,10.900333333333334,8.302,,252.64,842.0450000000002,3314.15,,,,,148.895,463.045,
8045,2CXO J142915.1+343820,1.5901500000000005e-14,5.757275e-14,1.979725e-14,1.180125e-14,2.639925e-14,6.03e-14,1.65e-14,,,20.007,18.7642,18.7312,18.5764,18.1998,15.214666666666664,14.463333333333333,10.942666666666666,8.670666666666667,,305.75750000000005,815.3175000000001,1366.745,16.555999999999994,15.936,15.2515,,258.6275,402.4775,
8046,2CXO J142917.2+342130,9.805249999999998e-15,1.13675e-13,3.431450000000001e-14,2.0152e-14,5.886775000000001e-14,3.829999999999999e-13,7.9e-14,22.379566666666665,20.23705,19.1984,19.404400000000006,19.056400000000004,18.9772,19.095,15.964333333333334,14.885,11.596333333333336,8.881333333333332,,180.905,407.5750000000001,1431.6,,,,,120.85,272.855,
8047,2CXO J142922.8+343030,3.7270275000000015e-14,1.3633725000000001e-14,3.9620249999999995e-15,1.817775e-15,2.8652450000000003e-15,1.88e-14,6.3e-15,,,19.326,18.787,18.7696,18.7622,18.562600000000003,,,,,,235.105,830.04,2369.25,,,,,159.8,446.97,
8048,2CXO J142935.9+322631,3.3858e-13,1.60155e-14,4.20145e-15,7.18275e-15,1.049295e-14,,,,,,,,,,,,,,,,,,,,,,,,
8049,2CXO J142939.0+353557,7.420950000000002e-15,1.2175200000000001e-15,1.0554999999999999e-15,7.244175e-16,1.874925e-15,,4.5e-15,,,,,,,,17.593333333333334,15.716,11.678,8.88,,85.44933333333331,398.73,778.4499999999998,,,,,40.83766666666667,176.3033333333333,
8050,2CXO J142940.7+032126,2.28465e-12,4.38685e-13,1.5426e-13,8.760299999999999e-14,2.00905e-13,9.66e-13,,18.339879999999997,18.43802,18.3184,8.786285714285713,18.0582,17.893800000000006,17.7178,13.550666666666665,12.567333333333332,9.835333333333336,7.450749999999998,,,,,16.9995,16.067,14.543,,,,
8051,2CXO J142942.6+335655,5.604300000000001e-13,1.3473000000000005e-13,3.674075e-14,2.260975e-14,7.65735e-14,3.15e-13,3.1525000000000003e-14,23.50946666666667,19.991325,19.175,19.0954,18.799199999999995,18.8254,18.9766,15.330666666666668,14.428333333333335,11.217333333333334,8.485666666666667,,337.01,681.11,1089.3333333333333,,,,,249.65,460.635,
8052,2CXO J142943.6+385932,6.433649999999999e-14,8.6474e-14,4.5173e-14,1.2036499999999996e-14,3.3736000000000004e-14,1.7e-13,,,,17.6976,17.5898,17.5614,17.5782,17.534999999999997,14.48,13.206,10.39125,7.911,,,,,16.9365,16.4225,15.4045,,,,
8053,2CXO J142949.6+324652,6.16875e-14,1.0527749999999997e-14,5.0391e-15,5.1974e-15,5.049975e-15,6.04e-14,1e-14,22.295025,22.1241,19.4308,19.1914,19.1698,19.0854,18.922,16.185999999999996,14.954333333333333,11.550999999999998,8.943,,151.485,478.355,1169.5500000000004,,,,,105.2,262.49,
8054,2CXO J142954.6+330135,2.49879e-14,5.2495500000000006e-14,2.172475e-14,9.4881e-15,2.20135e-14,6.57e-14,1.8000000000000002e-14,22.38015,20.688025000000003,18.498200000000004,18.366,18.250999999999998,18.1012,17.918200000000006,15.31,14.155999999999999,10.558333333333332,8.256333333333334,,447.955,1521.4,3978.7,,,,,291.545,860.1,
8055,2CXO J142958.5+000319,,4.4154e-14,9.76975e-15,5.962199999999999e-15,6.771899999999998e-14,,,,,,,,,,,,,,,,,,,,,,,,
8056,2CXO J142958.5-591136,,1.82385e-14,3.0185e-16,9.01215e-16,1.7615000000000002e-14,,,,,,,,,,,,,,,,,,,,,,,,
8057,2CXO J143016.1+351923,1.5048175e-14,3.3715499999999997e-14,1.9658750000000003e-14,1.482875e-14,1.7860499999999997e-14,8.61e-14,2.17e-14,19.9459,19.264775,18.9558,18.824400000000004,18.6364,18.6648,18.5632,14.788333333333332,13.761333333333333,11.091666666666667,8.154,,512.11,969.32,1966.84,,,,,363.835,702.78,
8058,2CXO J143019.8-000445,,5.551750000000002e-14,6.6797e-15,1.80355e-14,3.5994e-14,9.39e-14,,23.484475000000003,21.252375,19.838,19.76,19.473,19.284,19.375,15.693,14.794333333333334,11.793,9.040333333333336,,,,,,,,-13.15,,,
8059,2CXO J143023.7+420436,3.050550000000001e-13,1.68775e-12,2.762900000000001e-13,2.706399999999999e-13,1.1729e-12,1.91e-12,5.139999999999999e-13,,,24.745,23.306,21.013,19.173,19.337,,,,,-2.5149999999989707,,,,,,,,,,
8060,2CXO J143030.2-001115,4.3961e-14,1.04495e-13,1.25285e-14,2.3107499999999998e-14,7.4182e-14,2.17e-13,,20.612325,20.272975,19.399,14.549000000000001,18.115142857142857,17.661285714285714,17.433,13.640666666666668,12.776666666666666,9.612666666666668,7.3343333333333325,8.375e-14,,,,16.7785,15.293,14.703,,,,
8061,2CXO J143031.7+322145,4.236575e-14,2.356625e-14,7.138250000000003e-15,4.316225e-15,1.2220675e-14,2.81e-13,2.4e-14,,,20.227,19.668,19.246199999999995,19.0332,18.697,15.906999999999998,14.743333333333334,11.249333333333333,8.747,,246.07,743.1949999999998,2027.6,,,,,164.73000000000005,447.54,
8062,2CXO J143031.7+330042,1.10494e-13,3.28e-14,1.2051000000000001e-14,7.725100000000001e-15,2.7074750000000002e-14,4.64e-14,1e-14,20.743575,19.424475,18.8908,18.7972,18.559400000000004,18.6142,18.715999999999998,14.773,13.385333333333335,10.648666666666664,8.589,,756.775,1527.4,2129.133333333333,,,,,499.69500000000005,1111.5,
