,true class,pred_class,AGN,STAR,ULX,YSO
204,STAR,STAR,0.022,0.938,0.038,0.002
205,STAR,STAR,0.329,0.444,0.201,0.026
206,STAR,STAR,0.07,0.568,0.342,0.02
207,AGN,AGN,0.984,0.012,0.004,0.0
208,STAR,STAR,0.092,0.712,0.19,0.006
209,AGN,AGN,0.954,0.042,0.004,0.0
210,STAR,STAR,0.034,0.692,0.272,0.002
211,AGN,AGN,0.764,0.188,0.018,0.03
212,STAR,STAR,0.004,0.956,0.04,0.0
213,AGN,AGN,0.91,0.058,0.026,0.006
214,STAR,STAR,0.038,0.85,0.112,0.0
215,AGN,AGN,0.986,0.004,0.01,0.0
216,STAR,STAR,0.186,0.632,0.12,0.062
217,STAR,STAR,0.012,0.908,0.076,0.004
218,STAR,STAR,0.294,0.494,0.172,0.04
219,YSO,STAR,0.193,0.705,0.032,0.07
220,STAR,STAR,0.026,0.896,0.048,0.03
221,STAR,STAR,0.05,0.754,0.186,0.01
222,STAR,STAR,0.244,0.522,0.208,0.026
223,STAR,STAR,0.006,0.974,0.018,0.002
224,STAR,STAR,0.0,1.0,0.0,0.0
225,AGN,AGN,0.818,0.154,0.004,0.024
226,STAR,STAR,0.0,0.996,0.004,0.0
227,STAR,STAR,0.036,0.92,0.042,0.002
228,AGN,AGN,0.6787666666666666,0.232,0.06323333333333334,0.026
229,AGN,AGN,0.9486666666666668,0.036,0.015333333333333332,0.0
230,AGN,AGN,0.924,0.036,0.04,0.0
231,AGN,AGN,0.98,0.01,0.01,0.0
232,AGN,AGN,0.968,0.002,0.03,0.0
233,AGN,AGN,0.976,0.016,0.008,0.0
234,AGN,AGN,0.986,0.014,0.0,0.0
235,STAR,STAR,0.18,0.65,0.132,0.038
236,AGN,AGN,0.6061742424242424,0.018,0.37582575757575765,0.0
237,STAR,STAR,0.066,0.792,0.078,0.064
238,ULX,STAR,0.004,0.958,0.038,0.0
239,AGN,STAR,0.11220000000000001,0.446,0.4418,0.0
240,AGN,AGN,0.744,0.176,0.058,0.022
