,No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
30,31,5.8 microns (IRAC),69.282,+/-1.1685E+00,microJy,5.23E+13,6.93E-05,1.17E-06,1.17E-06,,,+/-1.17E-06,Jy,2013SSTSLC4.2....0C,uncertainty,5.731      microns,Broad-band measurement,,Flux in fixed aperture,3.8" aperture,From new raw data
31,32,5.8 microns (IRAC),73.058,+/-1.6340E+00,microJy,5.23E+13,7.31E-05,1.63E-06,1.63E-06,,,+/-1.63E-06,Jy,2013SSTSLC4.2....0C,uncertainty,5.731      microns,Broad-band measurement,,Flux in fixed aperture,5.8" aperture,From new raw data
32,33,5.8 microns (IRAC),42.525,+/-1.0828E+00,microJy,5.23E+13,4.25E-05,1.08E-06,1.08E-06,,,+/-1.08E-06,Jy,2013SSTSLC4.2....0C,uncertainty,5.731      microns,Broad-band measurement,,Flux in fixed aperture,3.8" aperture,From new raw data
33,34,5.8 microns (IRAC),80.04,+/-1.7147E+00,microJy,5.23E+13,8.00E-05,1.71E-06,1.71E-06,,,+/-1.71E-06,Jy,2013SSTSLC4.2....0C,uncertainty,5.731      microns,Broad-band measurement,,Flux in fixed aperture,5.8" aperture,From new raw data
34,35,5.8 microns (IRAC),86.683,+/-1.6546E+00,microJy,5.23E+13,8.67E-05,1.65E-06,1.65E-06,,,+/-1.65E-06,Jy,2013SSTSLC4.2....0C,uncertainty,5.731      microns,Broad-band measurement,,Flux in fixed aperture,5.8" aperture,From new raw data
35,36,5.8 microns (IRAC),66.989,+/-1.0650E+00,microJy,5.23E+13,6.70E-05,1.07E-06,1.07E-06,,,+/-1.07E-06,Jy,2013SSTSLC4.2....0C,uncertainty,5.731      microns,Broad-band measurement,,Flux in fixed aperture,3.8" aperture,From new raw data
36,37,8.0 microns (IRAC),91.143,+/-4.4033E+00,microJy,3.81E+13,9.11E-05,4.40E-06,4.40E-06,,,+/-4.40E-06,Jy,2013SSTSLC4.2....0C,uncertainty,7.872      microns,Broad-band measurement,,Flux in fixed aperture,5.8" aperture,From new raw data
37,38,8.0 microns (IRAC),76.442,+/-4.4331E+00,microJy,3.81E+13,7.64E-05,4.43E-06,4.43E-06,,,+/-4.43E-06,Jy,2013SSTSLC4.2....0C,uncertainty,7.872      microns,Broad-band measurement,,Flux in fixed aperture,5.8" aperture,From new raw data
38,39,8.0 microns (IRAC),43.507,+/-3.0526E+00,microJy,3.81E+13,4.35E-05,3.05E-06,3.05E-06,,,+/-3.05E-06,Jy,2013SSTSLC4.2....0C,uncertainty,7.872      microns,Broad-band measurement,,Flux in fixed aperture,3.8" aperture,From new raw data
39,40,8.0 microns (IRAC),61.061,+/-3.0692E+00,microJy,3.81E+13,6.11E-05,3.07E-06,3.07E-06,,,+/-3.07E-06,Jy,2013SSTSLC4.2....0C,uncertainty,7.872      microns,Broad-band measurement,,Flux in fixed aperture,3.8" aperture,From new raw data
40,41,8.0 microns (IRAC),70.302,+/-4.2697E+00,microJy,3.81E+13,7.03E-05,4.27E-06,4.27E-06,,,+/-4.27E-06,Jy,2013SSTSLC4.2....0C,uncertainty,7.872      microns,Broad-band measurement,,Flux in fixed aperture,5.8" aperture,From new raw data
41,42,8.0 microns (IRAC),68.324,+/-3.2818E+00,microJy,3.81E+13,6.83E-05,3.28E-06,3.28E-06,,,+/-3.28E-06,Jy,2013SSTSLC4.2....0C,uncertainty,7.872      microns,Broad-band measurement,,Flux in fixed aperture,3.8" aperture,From new raw data
42,43,24 microns (MIPS),312.18,+/-2.0952E+01,microJy,1.27E+13,0.000312,2.10E-05,2.10E-05,,,+/-2.10E-05,Jy,2013SSTSLC4.2....0C,uncertainty,23.68      microns,Broad-band measurement,,Modelled datum,PSF fit,From new raw data
43,44,24 microns (MIPS),,<5.8110E+01,microJy,1.27E+13,,,,5.81E-05,,<5.81E-05,Jy,2013SSTSLC4.2....0C,3 sigma,23.68      microns,Broad-band measurement,,Flux in fixed aperture,14.7" aperture; 3 sigma Upper Limit,From new raw data
44,45,24 microns (MIPS),,<5.3022E+01,microJy,1.27E+13,,,,5.30E-05,,<5.30E-05,Jy,2013SSTSLC4.2....0C,3 sigma,23.68      microns,Broad-band measurement,,Modelled datum,PSF fit; 3 sigma Upper Limit,From new raw data
45,46,24 microns (MIPS),,<5.7971E+01,microJy,1.27E+13,,,,5.80E-05,,<5.80E-05,Jy,2013SSTSLC4.2....0C,3 sigma,23.68      microns,Broad-band measurement,,Modelled datum,PSF fit; 3 sigma Upper Limit,From new raw data
46,47,24 microns (MIPS),,<5.8543E+01,microJy,1.27E+13,,,,5.85E-05,,<5.85E-05,Jy,2013SSTSLC4.2....0C,3 sigma,23.68      microns,Broad-band measurement,,Flux in fixed aperture,14.7" aperture; 3 sigma Upper Limit,From new raw data
47,48,24 microns (MIPS),316.99,+/-1.9356E+01,microJy,1.27E+13,0.000317,1.94E-05,1.94E-05,,,+/-1.94E-05,Jy,2013SSTSLC4.2....0C,uncertainty,23.68      microns,Broad-band measurement,,Flux in fixed aperture,14.7" aperture,From new raw data
