,freq
648,121000000000000.0
649,125000000000000.0
650,128000000000000.0
651,129000000000000.0
652,131000000000000.0
653,133000000000000.0
654,134000000000000.0
655,135000000000000.0
656,136000000000000.0
657,137000000000000.0
658,138000000000000.0
659,139000000000000.0
660,140000000000000.0
661,141000000000000.0
662,142000000000000.0
663,144000000000000.0
664,145000000000000.0
665,146000000000000.0
666,147000000000000.0
667,148000000000000.0
668,153000000000000.0
669,154000000000000.0
670,156000000000000.0
671,158000000000000.0
672,160000000000000.0
673,161000000000000.0
674,163000000000000.0
675,167000000000000.0
676,172000000000000.0
677,176000000000000.0
678,179000000000000.0
679,180000000000000.0
680,181000000000000.0
681,182000000000000.0
682,183000000000000.0
683,184000000000000.0
684,185000000000000.0
685,186000000000000.0
686,187000000000000.0
687,188000000000000.0
688,190000000000000.0
689,192000000000000.0
690,193000000000000.0
691,194000000000000.0
692,195000000000000.0
693,196000000000000.0
694,210000000000000.0
695,215000000000000.0
696,223000000000000.0
697,227000000000000.0
698,228000000000000.0
699,230000000000000.0
700,232000000000000.0
701,233000000000000.0
702,234000000000000.0
703,235000000000000.0
704,236000000000000.0
705,237000000000000.0
706,238000000000000.0
707,239000000000000.0
708,240000000000000.0
709,241000000000000.0
710,242000000000000.0
711,243000000000000.0
712,244000000000000.0
713,249000000000000.0
714,250000000000000.0
715,251000000000000.0
716,252000000000000.0
717,253000000000000.0
718,256000000000000.0
719,258000000000000.0
720,260000000000000.0
721,261000000000000.0
722,265000000000000.0
723,266000000000000.0
724,268000000000000.0
725,269000000000000.0
726,272000000000000.0
727,274000000000000.0
728,277000000000000.0
729,282000000000000.0
730,284000000000000.0
731,285000000000000.0
732,287000000000000.0
733,288000000000000.0
734,290000000000000.0
735,291000000000000.0
736,294000000000000.0
737,296000000000000.0
738,297000000000000.0
739,298000000000000.0
740,300000000000000.0
741,303000000000000.0
742,304000000000000.0
743,305000000000000.0
744,308000000000000.0
745,312000000000000.0
746,314000000000000.0
747,315000000000000.0
748,316000000000000.0
749,317000000000000.0
750,319000000000000.0
751,324000000000000.0
752,325000000000000.0
753,326000000000000.0
754,327000000000000.0
755,328000000000000.0
756,330000000000000.0
757,331000000000000.0
758,332000000000000.0
759,333000000000000.0
760,335000000000000.0
761,336000000000000.0
762,338000000000000.0
763,340000000000000.0
764,341000000000000.0
765,342000000000000.0
766,343000000000000.0
767,345000000000000.0
768,346000000000000.0
769,349000000000000.0
770,350000000000000.0
771,352000000000000.0
772,355000000000000.0
773,357000000000000.0
774,359000000000000.0
775,360000000000000.0
776,361000000000000.0
777,362000000000000.0
778,363000000000000.0
779,364000000000000.0
780,365000000000000.0
781,366000000000000.0
782,367000000000000.0
783,368000000000000.0
784,369000000000000.0
785,370000000000000.0
786,371000000000000.0
787,372000000000000.0
788,373000000000000.0
789,374000000000000.0
790,375000000000000.0
791,376000000000000.0
792,377000000000000.0
793,378000000000000.0
794,379000000000000.0
795,380000000000000.0
796,382000000000000.0
797,384000000000000.0
798,386000000000000.0
799,387000000000000.0
800,388000000000000.0
801,389000000000000.0
802,390000000000000.0
803,391000000000000.0
804,392000000000000.0
805,394000000000000.0
806,397000000000000.0
807,398000000000000.0
808,399000000000000.0
809,400000000000000.0
810,401000000000000.0
811,409000000000000.0
812,410000000000000.0
813,415000000000000.0
814,420000000000000.0
815,423000000000000.0
816,424000000000000.0
817,428000000000000.0
818,429000000000000.0
819,430000000000000.0
820,431000000000000.0
821,432000000000000.0
822,433000000000000.0
823,434000000000000.0
824,435000000000000.0
825,437000000000000.0
826,439000000000000.0
827,440000000000000.0
828,441000000000000.0
829,443000000000000.0
830,444000000000000.0
831,445000000000000.0
832,446000000000000.0
833,447000000000000.0
834,448000000000000.0
835,449000000000000.0
836,450000000000000.0
837,451000000000000.0
838,452000000000000.0
839,453000000000000.0
