,band,freq,unit
1038,F336W (HST/WFPC2),897000000000000.0,mag
1039,He I + H{zeta},771000000000000.0,ergs/cm^2^/s
1040,H{epsilon},755000000000000.0,ergs/cm^2^/s
1041,[S II],737000000000000.0,ergs/cm^2^/s
1042,[S II],735000000000000.0,ergs/cm^2^/s
1043,He I,670000000000000.0,ergs/cm^2^/s
1044,[Fe III],644000000000000.0,ergs/cm^2^/s
1045,[Ar IV],636000000000000.0,ergs/cm^2^/s
1046,[Fe VII],581000000000000.0,ergs/cm^2^/s
1047,[N I],577000000000000.0,ergs/cm^2^/s
1048,[N I],576000000000000.0,ergs/cm^2^/s
1049,He I,449000000000000.0,ergs/cm^2^/s
1050,He I,424000000000000.0,ergs/cm^2^/s
1051,P11,338000000000000.0,ergs/cm^2^/s
1052,F606W (HST),505000000000000.0,mag
1053,Z (UKIRT),340000000000000.0,milliJy
1054,900 microns (SMA),333000000000.0,milliJy
1055,U (Swift),869000000000000.0,microJy
1056,0.4-4 keV (BeppoSAX),5.32e+17,erg/cm^2^/s
1057,Z (UKIRT),326000000000000.0,milliJy
1058,Y (UKIRT),288000000000000.0,milliJy
1059,10.75 microns Gemini,27900000000000.0,milliJy
1060,101 GHz (NMA),101000000000.0,milliJy
1061,146.969 GHz (NMA),147000000000.0,milliJy
1062,140.969 GHz (NMA),141000000000.0,milliJy
1063,0.3-12 keV (XMM),1.49e+18,erg/cm^2^/s
1064,8.4 microns,35700000000000.0,mag
1065,89 GHz (IRAM),89000000000.0,milliJy
1066,165.3 GHz (GBT),165000000000.0,Jy
1067,82.6 GHz (GBT),82600000000.0,Jy
1068,N_2_ (ESO),31900000000000.0,mag
1069,5.8 microns (IRS),51500000000000.0,milliJy
1070,8.3 microns (IRS),36000000000000.0,milliJy
1071,12.9 microns (IRS),23100000000000.0,milliJy
1072,8.0 microns (IRAC),38500000000000.0,microJy
1073,CI(2-1) (PdBI),809000000000.0,Jy km/s
1074,1.16 mm,258000000000.0,milliJy
1075,252.762 GHz (PdBI),253000000000.0,milliJy
1076,153.704 GHz (PdBI),154000000000.0,milliJy
1077,B (Subaru) AB,677000000000000.0,mag
1078,N4 (AKARI),69200000000000.0,microJy
1079,S11 (AKARI),28700000000000.0,microJy
1080,11 microns (AKARI),27300000000000.0,microJy
1081,L18W (AKARI),16300000000000.0,microJy
1082,1600 A (HST/ACS) AB,1860000000000000.0,mag
1083,ISOCAM 15 microns,20700000000000.0,milliJy
1084,H_2 S(4) line,37400000000000.0,W/m^2^
1085,AlIII (GTC),1610000000000000.0,erg/s/cm^2^
1086,2.5-12 keV (XMM),1.75e+18,ergs/cm^2^/s
1087,134.969 GHz (NMA),135000000000.0,milliJy
1088,F300W (HST),998000000000000.0,erg/cm^2^/s/A
1089,F439W (HST),695000000000000.0,erg/cm^2^/s/A
1090,12 mm (VLA),25000000000.0,milliJy
1091,F207M (HST),144000000000000.0,milliJy
1092,2.35 microns,128000000000000.0,Jy
1093,3.43 microns,87400000000000.0,Jy
1094,11.1 microns,27000000000000.0,mag
1095,17.5 microns,17100000000000.0,Jy
1096,21.6 microns,13900000000000.0,Jy
1097,OH 53 (ISO),5620000000000.0,W/cm^2^
1098,[O I] 63 (ISO),4740000000000.0,W/cm^2^
1099,OH 65 (ISO),4600000000000.0,W/cm^2^
1100,H2O 66 (ISO),4510000000000.0,W/cm^2^
1101,H2O 67 (ISO),4470000000000.0,W/cm^2^
1102,OH 84 (ISO),3550000000000.0,W/cm^2^
1103,H2O 101 (ISO),2970000000000.0,W/cm^2^
1104,OH 119 (ISO),2510000000000.0,W/cm^2^
1105,85.3 GHz (IRAM),85300000000.0,milliJy
1106,F475W (HST) AB,633000000000000.0,mag
1107,169 MHz (LOFAR),169000000.0,Jy
1108,161 MHz (LOFAR),161000000.0,Jy
1109,154 MHz (LOFAR),154000000.0,Jy
1110,146 MHz (LOFAR),146000000.0,Jy
1111,138 MHz (LOFAR),138000000.0,Jy
1112,130 MHz (LOFAR),130000000.0,Jy
1113,U (KPNO),838000000000000.0,mag
1114,151 MHz (CLFST),515000000.0,Jy
1115,PAH2 (VLT),26700000000000.0,milliJy
1116,NeIIref1 (VLT),24500000000000.0,milliJy
1117,100-200 keV INTEGRAL,3.63e+19,erg/s/cm^2^
1118,21 GHz (ATCA),21000000000.0,milliJy
1119,19 GHz (ATCA),19000000000.0,milliJy
1120,17 GHz (ATCA),17000000000.0,milliJy
1121,180 microns (ISO),1670000000000.0,Jy
1122,r' (USNO),482000000000000.0,mag
1123,i' (USNO),393000000000000.0,mag
1124,136.2 GHz (GBT),136000000000.0,Jy
1125,86.9 GHz (GBT),86900000000.0,Jy
1126,41.5 GHz (GBT),41500000000.0,Jy
1127,Br{beta} (AKARI),114000000000000.0,erg/s/cm^2^
1128,85.6 GHz (NMA),85600000000.0,milliJy
1129,1635 MHz (VLA),1640000000.0,milliJy
1130,6947 A (Keck I),432000000000000.0,erg/cm^2^/A/s
1131,0.3-6 keV (XMM),7.62e+17,erg cm^-2^ s^-1^
1132,6.1 GHz (ATCA),6100000000.0,milliJy
1133,2.3 GHz (ATCA),2400000000.0,milliJy
1134,F180M (HST/NICMOS),167000000000000.0,mag
1135,CO (7-6) (CSO),807000000000.0,Jy km/s
1136,CN(N=3-2) (PdBI),340000000000.0,Jy km/s
1137,^13^CO(3-2) (IRAM),331000000000.0,Jy km/s
1138,92.9 GHz (IRAM),92900000000.0,milliJy
1139,1140 MHz (GBT),1140000000.0,Jy
1140,u' (MMT) AB,832000000000000.0,mag
1141,u* (CFHTLS) AB,788000000000000.0,mag
1142,g' (CFHTLS) AB,620000000000000.0,mag
1143,F606W (HST) AB,517000000000000.0,mag
1144,F814W (HST) AB,364000000000000.0,mag
1145,J2 (NEWFIRM) AB,251000000000000.0,mag
1146,J (CAHA) AB,249000000000000.0,mag
1147,H1 (NEWFIRM) AB,192000000000000.0,mag
1148,H2 (NEWFIRM) AB,176000000000000.0,mag
1149,4.5 microns IRAC AB,66900000000000.0,mag
1150,5.8 microns IRAC AB,53100000000000.0,mag
1151,8 microns IRAC AB,38300000000000.0,mag
1152,B (NOT),700000000000000.0,mag
1153,46 MHz (LOFAR),46000000000.0,milliJy
1154,4.9 GHz (VLA),4940000000.0,milliJy
1155,4.5 GHz (VLA),4560000000.0,milliJy
1156,B_W (KPNO/MOSAIC),729000000000000.0,mag
1157,153 MHz (GMRT),153000000.0,milliJy
1158,62 MHz (LOFAR),62000000000.0,milliJy
1159,3.1 GHz (ATA),3100000000.0,milliJy
1160,24.4 GHz (VLBA),24400000000.0,Jy
1161,U (Swift) AB,867000000000000.0,mag
1162,i' (Wirth),377000000000000.0,mag
1163,11.1 GHz (RATAN),11100000000.0,Jy
1164,1.0 GHz (RATAN),1000000000.0,Jy
1165,3.7 microns,81000000000000.0,milliJy
1166,Photographic g_POSS_,582000000000000.0,mag
1167,0.2-2.4 keV Chandra,3.14e+17,ergs/cm^2^/s
1168,6982 A (Keck I),429000000000000.0,erg/cm^2^/A/s
1169,14.4 microns ISOCAM,20800000000000.0,milliJy
1170,6970 A (Keck I),430000000000000.0,erg/cm^2^/A/s
1171,0.3 GHz (VLA),324000000.0,milliJy
1172,Z_aper_ (INT/WFC),342000000000000.0,mag
1173,3.6 microns (IRAC),84200000000000.0,microJy
1174,858 MHz (WSRT),858000000.0,Jy
1175,V (Swift) AB,553000000000000.0,mag
1176,[Fe II] (IRS),56100000000000.0,erg cm^-2^ s^-1^
1177,24.5 microns MIRLIN,12200000000000.0,milliJy
1178,107.57 GHz (NMA),108000000000.0,milliJy
1179,87.06 GHz (NMA),87100000000.0,milliJy
1180,86.52 GHz (NMA),86500000000.0,milliJy
1181,4710 MHz (VLA),4710000000.0,milliJy
1182,4.5 microns (IRAC),66300000000000.0,microJy
1183,0.615 GHz (GMRT),615000000.0,Jy
1184,4790 MHz (VLA),4790000000.0,milliJy
1185,2-200 keV (INTEGRAL),2.44e+19,erg/s/cm^2^
1186,N2 (AKARI),125000000000000.0,Jy
1187,N3 (AKARI),93700000000000.0,Jy
1188,N4 (AKARI),73100000000000.0,Jy
1189,V (NOT),560000000000000.0,mag
1190,93.1 GHz (CARMA),93100000000.0,milliJy
1191,88.9 GHz (CARMA),88900000000.0,milliJy
1192,4-20 keV (INTEGRAL),2.9e+18,erg/cm^2^/s
1193,3.5 cm (VLA),8570000000.0,milliJy
1194,H_2 = 1-0 S(5),163000000000000.0,erg/s/cm^2^
1195,He II (6-5),161000000000000.0,erg/s/cm^2^
1196,PAH 13.5 (IRS),22200000000000.0,erg/s/cm^2^
1197,PAH 18.9 (IRS),15900000000000.0,erg/s/cm^2^
1198,PAH 33.1 (IRS),9060000000000.0,erg/s/cm^2^
1199,14650 MHz,14700000000.0,Jy
1200,8515 MHz,8510000000.0,Jy
1201,4525 MHz (VLA),4530000000.0,Jy
1202,1340 MHz (VLBA),1300000000.0,Jy
1203,327 MHz (VLA),328000000.0,Jy
1204,I (OAGH),353000000000000.0,mag
1205,UVW2 (XMM-OM),1450000000000000.0,erg/cm^2^/s/A
1206,F225W (HST) AB,1270000000000000.0,mag
1207,F105W (HST) AB,284000000000000.0,mag
1208,F110W (HST) AB,260000000000000.0,mag
1209,F140W (HST) AB,215000000000000.0,mag
1210,L' (GeminiN),79300000000000.0,mag
1211,0.3-5 keV (Chandra),6.41e+17,erg/cm^2^/s
1212,N II (HST),2770000000000000.0,ergs/cm^2^/s
1213,Si III (HST),2700000000000000.0,ergs/cm^2^/s
1214,C III (HST),2550000000000000.0,ergs/cm^2^/s
1215,Si II (HST),2510000000000000.0,ergs/cm^2^/s
1216,Si II (HST),2380000000000000.0,ergs/cm^2^/s
1217,Fe II191 (HST),1680000000000000.0,ergs/cm^2^/s
1218,Si II (HST),1650000000000000.0,ergs/cm^2^/s
1219,Al III (HST),1620000000000000.0,ergs/cm^2^/s
1220,C III] (HST),1560000000000000.0,ergs/cm^2^/s
1221,Ca II (HST),762000000000000.0,ergs/cm^2^/s
1222,Na I D (HST),509000000000000.0,ergs/cm^2^/s
1223,g (Gunn),608000000000000.0,mag
1224,[O III]+H{beta},607000000000000.0,log(erg/s/cm^2^)
1225,NB_J (CFHT) AB,253000000000000.0,mag
1226,Y (CFHT),2940000000000000.0,mag
1227,B (Loiano),674000000000000.0,microJy
1228,0.5-9 keV (Chandra),1.15e+18,erg/cm^2^/s
1229,106.634 GHz (CARMA),107000000000.0,milliJy
1230,4910 MHz (GMRT),4910000000.0,milliJy
1231,1313 MHz (GMRT),1310000000.0,milliJy
1232,332 MHz (GMRT),332000000.0,milliJy
1233,476 GeV (MAGIC),1.15e+26,erg/cm^2^/s
1234,235 GeV (MAGIC),5.68e+25,erg/cm^2^/s
1235,186 GeV (MAGIC),4.5e+25,erg/cm^2^/s
1236,128 GeV (MAGIC),3.1e+25,erg/cm^2^/s
1237,113 GeV (MAGIC),2.73e+25,erg/cm^2^/s
1238,83 GeV (MAGIC),2.01e+25,erg/cm^2^/s
1239,4-200 keV (INTEGRAL),2.47e+19,erg/cm^2^/s
1240,238 GHz (ESO),238000000000.0,Jy
1241,863 MHz (ASKAP),863000000.0,milliJy
1242,2.14 mm (NIKA),140000000000.0,milliJy
1243,0.3-1 keV (XMM),1.57e+17,erg/cm^2^/s
1244,105 microns (ISO),2800000000000.0,Jy
