,band,freq,unit
155,11.2 microns (IRS),26800000000000.0,W/m^2^
156,Si5 (GeminiS),25700000000000.0,milliJy
157,H_2S(2) (Spitzer),24400000000000.0,erg/s/cm^2^
158,12.6 microns (IRS),23800000000000.0,W/m^2^
159,14.7 microns (IRS),20400000000000.0,Jy
160,15 microns (Spitzer),20000000000000.0,W/cm^2^/microns
161,17.0 microns (IRS),17600000000000.0,W/m^2^
162,[S III] 18.71 (IRS),16000000000000.0,erg/s/cm^2^
163,20 microns (Spitzer),15000000000000.0,W/cm^2^/microns
164,[Ne V] 24.32 (IRS),12300000000000.0,erg/s/cm^2^
165,25 microns (Spitzer),12000000000000.0,Jy
166,[O IV] 25.89 (IRS),11600000000000.0,erg/s/cm^2^
167,H_2S(0) (Spitzer),10600000000000.0,W/m^2^
168,30 microns (Spitzer),9990000000000.0,W/cm^2^/microns
169,[S III] 33.5 Spitzer,8950000000000.0,W/cm^2^
170,[Si II] 34.28,8750000000000.0,W/cm^2^
171,[Si II] 34.82 (IRS),8610000000000.0,erg/s/cm^2^
172,60 microns (IRAS),5000000000000.0,Jy
173,[O I] 63.18 (PACS),4750000000000.0,W/m^2^
174,70 microns (PACS),4280000000000.0,Jy
175,[O III] 88.36 (PACS),3390000000000.0,W/m^2^
176,90 microns (AKARI),3330000000000.0,Jy
177,100 microns (IRAS),3000000000000.0,Jy
178,100 microns (PACS),2930000000000.0,Jy
179,120 microns (ISO),2520000000000.0,Jy
180,[O I] 145.52 (PACS),2060000000000.0,W/m^2^
181,[C II] 157.74 (PACS),1900000000000.0,W/m^2^
182,150 microns (ISO),1860000000000.0,Jy
183,160 microns (PACS),1810000000000.0,Jy
184,170 microns (ISO),1720000000000.0,Jy
185,180 microns (ISO),1620000000000.0,Jy
186,200 microns (ISO),1470000000000.0,Jy
187,[N II] (Herschel),1460000000000.0,W/m^2^
188,250 microns (SPIRE),1200000000000.0,Jy
189,350 microns (SPIRE),857000000000.0,Jy
190,500 microns (SPIRE),600000000000.0,Jy
191,CO(1-0) (CARMA),115000000000.0,Jy km/s
192,HC3N 10-9,91000000000.0,Jy km/s
193,HNC 1-0,90700000000.0,Jy km/s
194,23.1 GHz (OVRO),23100000000.0,milliJy
195,4.755 GHz (GBT),4760000000.0,milliJy
196,HI (21 cm line),1420000000.0,m_21 mag
197,i (SDSS) AB,391000000000000.0,mag
198,i (HST/F775W) AB,386000000000000.0,mag
199,G (Gaia),452000000000000.0,mag
200,94 GHz (WMAP),94000000000.0,Jy
201,89600 MHz,89600000000.0,Jy
202,61 GHz (WMAP),61000000000.0,Jy
203,43 GHz (KVN),42400000000.0,Jy
204,41 GHz (WMAP),41000000000.0,Jy
205,37 GHz,36800000000.0,Jy
206,31400 MHz,31400000000.0,Jy
207,30 GHz (Torun),30000000000.0,Jy
208,22 GHz,22200000000.0,Jy
209,22 GHz (KVN),21700000000.0,Jy
210,4900 MHz,4900000000.0,Jy
211,5 GHz (VLA),4890000000.0,milliJy
212,4830 MHz (NRAO),4830000000.0,milliJy
213,966 MHz,966000000.0,Jy
214,0.35-8 keV (Chandra),1.01e+18,erg/s/cm^2^
215,0.2-2 keV (ROSAT),3.15e+17,erg/s/cm^2^
216,r (SDSS),479000000000000.0,mag
217,15.2 GHz (RT),15200000000.0,Jy
218,151 MHz (6C),152000000.0,Jy
219,g' (INT),619000000000000.0,mag
220,r' (INT),480000000000000.0,mag
221,i' (INT),387000000000000.0,mag
222,2380 MHz,2380000000.0,milliJy
223,4775 MHz (NRAO),4780000000.0,milliJy
224,6.4 keV Fe K{alpha},1.55e+18,ergs cm^-2^ s^-1^
225,0.5-10 keV (ASCA),1.21e+18,ergs cm^-2^ s^-1^
226,W1 (WISE),88200000000000.0,mag
227,W2 (WISE),65200000000000.0,mag
228,4.8 microns (ISO),61700000000000.0,milliJy
229,20 microns (ISO),14200000000000.0,milliJy
230,540.90 MHz (GBT),541000000.0,Jy
231,86 MHz,86000000.0,Jy
232,60 MHz,60000000.0,Jy
233,26.3 MHz,26300000.0,Jy
234,25.0 MHz,25000000.0,Jy
235,22.25 MHz,22200000.0,Jy
236,20.0 MHz,20000000.0,Jy
237,16.7 MHz,16700000.0,Jy
238,10 MHz,10000000.0,Jy
239,[Ne V] 3426 (SSO),875000000000000.0,erg s^-1^ cm^-2^
240,[Ne III] 3869 (SSO),775000000000000.0,erg s^-1^ cm^-2^
241,[O III] 4363 (SSO),687000000000000.0,erg s^-1^ cm^-2^
242,He II 4686 (SSO),640000000000000.0,erg s^-1^ cm^-2^
243,[O III] 4959 (SSO),605000000000000.0,erg s^-1^ cm^-2^
244,[N II] 6548 (SSO),458000000000000.0,erg s^-1^ cm^-2^
245,PAH 6.22 (IRS),48200000000000.0,W/cm^2^
246,[Ne VI] 7.7 (IRS),39200000000000.0,W/cm^2^
247,H_2 S(4) 8.0 (IRS),37300000000000.0,W/cm^2^
248,[Ar III] 8.9 (IRS),33300000000000.0,W/cm^2^
249,H{alpha} 12.4 (IRS),24200000000000.0,W/cm^2^
250,PAH 12.7 (IRS),23600000000000.0,W/cm^2^
251,[Ne V] 14.3 (IRS),21000000000000.0,W/cm^2^
252,[Ne III] 15.6 (IRS),19200000000000.0,W/cm^2^
253,[Fe II] 17.9 (IRS),16700000000000.0,W/cm^2^
254,[Fe II] 25.9 (IRS),11500000000000.0,W/cm^2^
255,HNC (J=4-3) (ALMA),363000000000.0,Jy km/s
256,HCO+ (J=4-3) (ALMA),357000000000.0,Jy km/s
257,HCN (J=4-3) (ALMA),355000000000.0,Jy km/s
258,8.6 GHz (ATCA),8600000000.0,milliJy
259,4.8 GHz (ATCA),4800000000.0,milliJy
260,2.5 GHz (ATCA),2500000000.0,milliJy
261,843 MHz (SUMSS),843000000.0,milliJy
262,350 GHz (SCUBA),350000000000.0,milliJy
263,CO(3-2) (OVRO),346000000000.0,Jy km/s
264,[Fe II] 4570 (SDSS),631000000000000.0,erg/s/cm^2^
265,[O III] doublet SDSS,602000000000000.0,erg/s/cm^2^
266,[Fe II] 4570 (SDSS),656000000000000.0,log(erg/s/cm^2^)
267,450 microns (SCUBA),666000000000.0,milliJy
